Estacion,Localidad,Estado,Latitud,Longitud,Altitud,geometry
ACO ,Acolman,Estado de México  ,19.635501,-98.912003,2198,POINT (-98.912003 19.635501)
AJU ,Tlalpan ,CDMX ,19.154674,-99.162459,2953,POINT (-99.162459 19.154674)
AJM ,Tlalpan ,CDMX ,19.2721,-99.207658,2619,POINT (-99.207658 19.2721)
ATI ,Atizapán de Zaragoza ,Estado de México ,19.576963,-99.254133,2341,POINT (-99.254133 19.576963)
BJU ,Benito Juárez ,CDMX ,19.371612,-99.158969,2250,POINT (-99.158969 19.371612)
CAM ,Azcapotzalco ,CDMX ,19.468404,-99.169794,2233,POINT (-99.169794 19.468404)
CCA ,Coyoacán ,CDMX ,19.3262,-99.1761,2280,POINT (-99.1761 19.3262)
TEC ,Gustavo A. Madero ,CDMX ,19.487227,-99.114229,2265,POINT (-99.114229 19.487227)
CHO ,Chalco ,Estado de México ,19.266948,-98.886088,2253,POINT (-98.886088 19.266948)
COR ,Xochimilco ,CDMX ,19.265346,-99.02604,2242,POINT (-99.02604 19.265346)
CUA ,Cuajimalpa de Morelos ,CDMX ,19.365313,-99.291705,2704,POINT (-99.291705 19.365313)
CUT ,Cuautitlán Izcalli ,Estado de México ,19.64678,-99.21024,2271,POINT (-99.21024 19.64678)
DIC ,Tlalpan ,CDMX ,19.298819,-99.185774,2305,POINT (-99.185774 19.298819)
EAJ ,Tlalpan ,CDMX ,19.271222,-99.203971,2584,POINT (-99.203971 19.271222)
EDL ,Cuajimalpa de Morelos ,CDMX ,19.313357,-99.310635,2980,POINT (-99.310635 19.313357)
FAC ,Naucalpan de Juárez ,Estado de México ,19.482473,-99.243524,2299,POINT (-99.243524 19.482473)
FAR ,Nezahualcóyotl ,Estado de México ,19.473692,-99.046176,2230,POINT (-99.046176 19.473692)
GAM ,Gustavo A. Madero ,CDMX ,19.4827,-99.094517,2227,POINT (-99.094517 19.4827)
HGM ,Cuauhtémoc ,CDMX ,19.411617,-99.152207,2234,POINT (-99.152207 19.411617)
INN ,Ocoyoacac ,Estado de México ,19.291968,-99.38052,3082,POINT (-99.38052 19.291968)
IZT ,Iztacalco ,CDMX ,19.384413,-99.117641,2238,POINT (-99.117641 19.384413)
LPR ,Tlalnepantla de Baz ,Estado de México ,19.534727,-99.11772,2302,POINT (-99.11772 19.534727)
LAA ,Gustavo A. Madero ,CDMX ,19.483781,-99.147312,2255,POINT (-99.147312 19.483781)
IBM ,Miguel Hidalgo ,CDMX ,19.443319,-99.21536,2314,POINT (-99.21536 19.443319)
LOM ,Miguel Hidalgo ,CDMX ,19.403,-99.242062,2434,POINT (-99.242062 19.403)
LLA ,Ecatepec de Morelos ,Estado de México ,19.578792,-99.039644,2230,POINT (-99.039644 19.578792)
MER ,Venustiano Carranza ,CDMX ,19.42461,-99.119594,2245,POINT (-99.119594 19.42461)
MGH ,Miguel Hidalgo ,CDMX ,19.40405,-99.202603,2366,POINT (-99.202603 19.40405)
MPA ,Milpa Alta ,CDMX ,19.1769,-98.990189,2594,POINT (-98.990189 19.1769)
MON ,Texcoco ,Estado de México ,19.460415,-98.902853,2252,POINT (-98.902853 19.460415)
MCM ,Cuauhtémoc ,CDMX ,19.429071,-99.131924,2237,POINT (-99.131924 19.429071)
NEZ ,Nezahualcóyotl ,Estado de México ,19.393734,-99.028212,2235,POINT (-99.028212 19.393734)
PED ,Álvaro Obregón ,CDMX ,19.325146,-99.204136,2326,POINT (-99.204136 19.325146)
SAG ,Ecatepec de Morelos ,Estado de México ,19.532968,-99.030324,2241,POINT (-99.030324 19.532968)
TAH ,Xochimilco ,CDMX ,19.246459,-99.010564,2297,POINT (-99.010564 19.246459)
TLA ,Tlalnepantla de Baz ,Estado de México ,19.529077,-99.204597,2311,POINT (-99.204597 19.529077)
TLI ,Tultitlán ,Estado de México ,19.602542,-99.177173,2313,POINT (-99.177173 19.602542)
UIZ ,Iztapalapa ,CDMX ,19.360794,-99.07388,2221,POINT (-99.07388 19.360794)
UAX ,Coyoacán ,CDMX ,19.304441,-99.103629,2246,POINT (-99.103629 19.304441)
VIF ,Coacalco de Berriozábal ,Estado de México ,19.658223,-99.09659,2242,POINT (-99.09659 19.658223)
XAL ,Ecatepec de Morelos ,Estado de México ,19.525995,-99.0824,2160,POINT (-99.0824 19.525995)
